ID,Nombre,Marca,Categoría,Slug,Descripción,Precio,Precio con descuento,Stock,Activo,CODIGO AIKON,COLOR,MEDIDA,TERMINACIÓN,Imagen
72,Poximix Interior,Akapol,Reparaciones,poximix-interior-5kg-akapol,Masilla epoxi bicomponente para reparación de grietas y fisuras interiores marca Poxipol presentación 5kg. Máxima performance para grandes reparaciones. Resistencia química y mecánica excepcional. Uso profesional.,24131,16891.7,12,Sí,397,BLANCO,5KG,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/poximix/poximix-interior-5kg-poxipol.png
73,Sintético Converlux,Petrilac,"Maderas, Sintéticos",sintetico-converlux-1l-petrilac,"Esmalte sintético de alta calidad para maderas marca Petrilac. Excelente nivelación y brillo. Protección duradera contra la intemperie. Disponible en gran variedad de colores. Ideal para puertas, ventanas y muebles exteriores.",15344,10740.8,28,Sí,"ALUMINIO 3474, AMARILLO 4477, AMARILLO MEDIANO 3938, AZUL MARINO 3492, AZUL TRAFUL 3478, BERMELLON 3476, BLANCO BRILL 638, BLANCO SAT 3396, BLANCO MATE 3711, GRIS PERLA 4476, GRIS 971, MARFIL 3477, MARRON 951, NARANJA 3934, NEGRO BRILL 984, NEGRO SAT 3945, NEGRO MATE 3712, TOSTADO 980, VERDE INGLES 994, VERDE NOCHE 993","ALUMINIO 3474, AMARILLO 4477, AMARILLO MEDIANO 3938, AZUL MARINO 3492, AZUL TRAFUL 3478, BERMELLON 3476, BLANCO BRILL 638, BLANCO SAT 3396, BLANCO MATE 3711, GRIS PERLA 4476, GRIS 971, MARFIL 3477, MARRON 951, NARANJA 3934, NEGRO BRILL 984, NEGRO SAT 3945, NEGRO MATE 3712, TOSTADO 980, VERDE INGLES 994, VERDE NOCHE 993",1L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/petrilac/sintetico-converlux-1l-petrilac.webp
74,Sintético Converlux,Petrilac,"Maderas, Sintéticos",sintetico-converlux-4l-petrilac,Esmalte sintético de alta calidad para maderas marca Petrilac presentación 4L. Tecnología de protección UV. Resistente a rayado y desgaste. Acabado profesional con excelente durabilidad.,57422,40195.4,20,Sí,"ALUMINIO 4239, AMARILLO 4643, AMARILLO MEDIANO 3943, AZUL MARINO 3941, AZUL TRAFUL 4644, BERMELLON 4645, BLANCO BRILL 3484, BLANCO SAT 3395, BLANCO MATE 3710, GRIS PERLA 4646, GRIS 3674, MARFIL 3944, MARRON 3949, NARANJA 3942, NEGRO BRILL 3473, NEGRO SAT 3479, NEGRO MATE 4067, TOSTADO 3940, VERDE INGLES 3475, VERDE NOCHE 3835","ALUMINIO 4239, AMARILLO 4643, AMARILLO MEDIANO 3943, AZUL MARINO 3941, AZUL TRAFUL 4644, BERMELLON 4645, BLANCO BRILL 3484, BLANCO SAT 3395, BLANCO MATE 3710, GRIS PERLA 4646, GRIS 3674, MARFIL 3944, MARRON 3949, NARANJA 3942, NEGRO BRILL 3473, NEGRO SAT 3479, NEGRO MATE 4067, TOSTADO 3940, VERDE INGLES 3475, VERDE NOCHE 3835
",4L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/petrilac/sintetico-converlux-4l-petrilac.webp
75,Impregnante Danzke,Petrilac,Maderas,impregnante-danzke-1l-petrilac,"Impregnante protector para maderas marca Petrilac. Penetra profundamente protegiendo desde el interior. Previene ataques de hongos, insectos y humedad. Mantiene la textura natural de la madera. Ideal para deck, pérgolas y maderas exteriores.",23900,16730,25,Sí,"CAOBA 1201, CEDRO 1199, CRISTAL 1202, NATURAL 1200, NOGAL 1203, ROBLE 1204","CAOBA 1201, CEDRO 1199, CRISTAL 1202, NATURAL 1200, NOGAL 1203, ROBLE 1204",1L,Brillante,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/petrilac/impregnante-danzke-1l-petrilac.webp
76,Impregnante Danzke,Petrilac,Maderas,impregnante-danzke-4l-petrilac,Impregnante protector para maderas marca Petrilac presentación 4L. Protección integral contra agentes bióticos y abióticos. Fórmula de larga duración. Excelente penetración en maderas duras y blandas.,91500,64050,18,Sí,"CAOBA 1201, CEDRO 1199, CRISTAL 1202, NATURAL 1200, NOGAL 1203, ROBLE 1204","CAOBA 1201, CEDRO 1199, CRISTAL 1202, NATURAL 1200, NOGAL 1203, ROBLE 1204",4L,Brillante,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/petrilac/impregnante-danzke-4l-petrilac.webp
76*,Impregnante Danzke,Petrilac,Maderas,impregnante-danzke-4l-petrilac,Impregnante protector para maderas marca Petrilac presentación 4L. Protección integral contra agentes bióticos y abióticos. Fórmula de larga duración. Excelente penetración en maderas duras y blandas.,21342,14939.4,18,Sí,"CEDRO 1193, NATURAL 1194, CAOBA 1195, CRISTAL 1196, NOGAL 1197, ROBLE 1198","CEDRO 1193, NATURAL 1194, CAOBA 1195, CRISTAL 1196, NOGAL 1197, ROBLE 1198",1L,Satinado,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/petrilac/impregnante-danzke-4l-petrilac.webp
76*,Impregnante Danzke,Petrilac,Maderas,impregnante-danzke-4l-petrilac,Impregnante protector para maderas marca Petrilac presentación 4L. Protección integral contra agentes bióticos y abióticos. Fórmula de larga duración. Excelente penetración en maderas duras y blandas.,81607,57124.9,18,Sí,"CEDRO 1205, NATURAL 1206, CAOBA 1207, CRISTAL 1208, NOGAL 1209, ROBLE 1210","CEDRO 1205, NATURAL 1206, CAOBA 1207, CRISTAL 1208, NOGAL 1209, ROBLE 1210",4L,Satinado,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/petrilac/impregnante-danzke-4l-petrilac.webp
77,Barniz Campbell,Petrilac,"Terminaciones, Maderas",barniz-campbell-1l-petrilac,"Barniz poliuretánico transparente marca Petrilac. Excelente resistencia al desgaste y rayado. Protección UV que evita el amarillamiento. Ideal para pisos de madera, muebles y carpintería fina. Acabado brillante de alta durabilidad.",19843,13890.1,22,Sí,1166,INCOLORO,1L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/petrilac/barniz-campbell-1l-petrilac.webp
78,Barniz Campbell,Petrilac,"Terminaciones, Maderas",barniz-campbell-4l-petrilac,Barniz poliuretánico transparente marca Petrilac presentación 4L. Tecnología de protección avanzada. Resistencia excepcional al tráfico y uso intensivo. Aplicación profesional para grandes superficies.,71546,50082.2,15,Sí,1167,INCOLORO,4L,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/petrilac/barniz-campbell-4l-petrilac.webp
79,Cinta Papel Blanca,Genérico,Profesionales,cinta-papel-blanca-18mm,Cinta de papel para enmascarar marca genérica. Ancho 18mm x 40 metros. Adhesivo de fácil remoción que no deja residuos. Ideal para trabajos de precisión y detalles finos. Resistente a solventes de pinturas.,2141,1498.7,50,Sí,4530,NULL,18mm x 40m,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/genericos/cinta-papel-blanca-18mm.webp
80,Cinta Papel Blanca ,Genérico,Profesionales,cinta-papel-blanca-24mm,Cinta de papel para enmascarar marca genérica. Ancho 24mm x 40 metros. Excelente adherencia y remoción limpia. Uso general en trabajos de pintura. Resistente a la humedad y temperatura.,2854,1997.8,45,Sí,4427,NULL,24mm x 40m,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/genericos/cinta-papel-blanca-24mm.webp
81,Cinta Papel Blanca ,Genérico,Profesionales,cinta-papel-blanca-36mm,Cinta de papel para enmascarar marca genérica. Ancho 36mm x 40 metros. Tamaño estándar para la mayoría de trabajos de pintura. Protección efectiva de superficies. Fácil desenrollado y aplicación.,4288,3001.6,40,Sí,4434,NULL,36mm x 40m,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/genericos/cinta-papel-blanca-36mm.webp
82,Cinta Papel Blanca,Genérico,Profesionales,cinta-papel-blanca-48mm,Cinta de papel para enmascarar marca genérica. Ancho 48mm x 40 metros. Ideal para proteger áreas grandes y zócalos. Máxima cobertura con una sola pasada. Adhesivo balanceado para remoción sin daños.,5709,3996.3,35,Sí,4448,NULL,48mm x 40m,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/genericos/cinta-papel-blanca-48mm.webp
83,Poximix Exterior,Akapol,Exteriores,poximix-exterior-05kg-akapol,"Poximix Exterior es ideal para reparar grietas, agujeros y huecos en las paredes y techos del exterior del hogar. Resistente a la intemperie y condiciones climáticas adversas. Presentación de 0.5kg.",5160,3612,15,Sí,394,GRIS,0.5KG,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/poximix/poximix-exterior-05kg-poxipol.png
84,Poximix Exterior,Akapol,Exteriores,poximix-exterior-125kg-akapol,"Poximix Exterior es ideal para reparar grietas, agujeros y huecos en las paredes y techos del exterior del hogar. Resistente a la intemperie y condiciones climáticas adversas. Presentación de 1.25kg.",6850,4795,12,Sí,396,GRIS,1.25KG,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/poximix/poximix-exterior-125kg-poxipol.png
85,Poximix Exterior,Akapol,Exteriores,poximix-exterior-3kg-akapol,"Poximix Exterior es ideal para reparar grietas, agujeros y huecos en las paredes y techos del exterior del hogar. Resistente a la intemperie y condiciones climáticas adversas. Presentación de 3kg.",15086,10560.2,8,Sí,3392,GRIS,3KG,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/poximix/poximix-exterior-3kg-poxipol.png
86,Poximix Exterior,Akapol,Exteriores,poximix-exterior-5kg-akapol,"Poximix Exterior es ideal para reparar grietas, agujeros y huecos en las paredes y techos del exterior del hogar. Resistente a la intemperie y condiciones climáticas adversas. Presentación de 5kg.",24131,16891.7,6,Sí,398,GRIS,5KG,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/poximix/poximix-exterior-5kg-poxipol.png
87,Lija al Agua,El Galgo,Accesorios,lija-al-agua-grano-40-el-galgo,Lija al agua de grano 40 marca El Galgo. Ideal para lijado grueso y preparación inicial de superficies. Excelente calidad y durabilidad para trabajos profesionales de pinturería y construcción.,1161,812.7,50,Sí,,NULL,Grano 40,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/galgo/lija-al-agua-40.png
88,Lija al Agua,El Galgo,Accesorios,lija-al-agua-grano-50-el-galgo,Lija al agua de grano 50 marca El Galgo. Perfecta para lijado medio y preparación de superficies. Calidad profesional para acabados superiores en trabajos de pintura.,1161,812.7,50,Sí,3627,NULL,Grano 50,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/galgo/lija-al-agua-50.png
89,Lija al Agua,El Galgo,Accesorios,lija-al-agua-grano-80-el-galgo,Lija al agua de grano 80 marca El Galgo. Ideal para lijado medio-fino y preparación de superficies antes del acabado. Excelente adherencia y resistencia al agua.,1161,812.7,50,Sí,3588,NULL,Grano 80,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/galgo/lija-al-agua-80.png
90,Lija al Agua,El Galgo,Accesorios,lija-al-agua-grano-120-el-galgo,Lija al agua de grano 120 marca El Galgo. Perfecta para lijado fino y preparación final de superficies. Ideal para trabajos de precisión y acabados de alta calidad.,1161,812.7,50,Sí,3070,NULL,Grano 120,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/galgo/lija-al-agua-120.png
91,Lija al Agua,El Galgo,Accesorios,lija-al-agua-grano-180-el-galgo,Lija al agua de grano 180 marca El Galgo. Ideal para lijado extrafino y acabados de precisión. Perfecta para preparación final antes de aplicar pinturas o barnices de alta gama.,1161,812.7,50,Sí,3708,NULL,Grano 180,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/galgo/lija-al-agua-180.png
92,Bandeja Chata para Pintura,Genérico,Accesorios,bandeja-chata-para-pintura,"Bandeja chata profesional para pintura. Ideal para cargar rodillos y distribuir uniformemente la pintura. Fabricada en plástico resistente, fácil de limpiar y reutilizable. Indispensable para trabajos de pintura profesionales.",2816,1971.2,30,Sí,1664,NULL,NULL,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/genericos/bandeja-chata.png
93,Pinceleta para Obra V2 N40,Genérico,Accesorios,pinceleta-para-obra-n40,"Pinceleta profesional para obra y trabajos de construcción. Cerdas de alta calidad para aplicación uniforme de pinturas, barnices y tratamientos. Mango ergonómico para mayor comodidad durante trabajos prolongados.",7846,5492.2,40,Sí,3065,NULL,NULL,NULL,https://aakzspzfulgftqlgwkpb.supabase.co/storage/v1/object/public/product-images/genericos/pinceleta-obra.png
94,Recuplast Frentes,Sinteplast,Exteriores,recuplast-frentes-1l-sinteplast,"Látex impermeabilizante para exteriores de alta performance. Protege las paredes de la humedad, hongos y manchas, brindando una terminación uniforme y duradera. Ideal para frentes y muros expuestos a la intemperie. Disponible en colores blanco, cemento y gris.",18127,12688.9,10,,3386,"BLANCO, CEMENTO, GRIS",1L,NULL,-
95,Recuplast Frentes,Sinteplast,Exteriores,recuplast-frentes-4l-sinteplast,"Látex impermeabilizante para exteriores de alta performance. Protege las paredes de la humedad, hongos y manchas, brindando una terminación uniforme y duradera. Ideal para frentes y muros expuestos a la intemperie. Disponible en colores blanco, cemento y gris.",54010,37807,8,,2750,"BLANCO, CEMENTO, GRIS",4L,NULL,-
96,Recuplast Frentes,Sinteplast,Exteriores,recuplast-frentes-10l-sinteplast,"Látex impermeabilizante para exteriores de alta performance. Protege las paredes de la humedad, hongos y manchas, brindando una terminación uniforme y duradera. Ideal para frentes y muros expuestos a la intemperie. Disponible en colores blanco, cemento y gris.",128702,90091.4,7,,2751,"BLANCO, CEMENTO, GRIS",10L,NULL,-
97,Recuplast Frentes,Sinteplast,Exteriores,recuplast-frentes-20l-sinteplast,"Látex impermeabilizante para exteriores de alta performance. Protege las paredes de la humedad, hongos y manchas, brindando una terminación uniforme y duradera. Ideal para frentes y muros expuestos a la intemperie. Disponible en colores blanco, cemento y gris.",209935,146954.5,20,,2771,"BLANCO, CEMENTO, GRIS",20L,NULL,-
98,Sellador Multiuso Juntas y Grietas,Plavicon,"Exteriores, Techos",sellador-multiuso-juntas-y-grietas-350gr-plavicon,"Masilla elástica multipropósito para sellar grietas y juntas en techos, paredes y muros exteriores. De gran adherencia, flexible y resistente a la intemperie. Ideal para reparaciones rápidas y duraderas. Color blanco, presentación de 350 g.",8530,5971,25,,4571,BLANCO,350GR,NULL,-
99,Plavipint Fibrado,Plavicon,"Exteriores, Techos",plavipint-fibrado-plavicon,"Revestimiento impermeabilizante fibrado para techos y terrazas. Forma una película elástica y resistente que acompaña los movimientos de dilatación y contracción, evitando filtraciones y grietas. Ideal para superficies expuestas al sol y la lluvia, con excelente adherencia y durabilidad.",,,0,,,,,,